id,nombre_director,job,director_id
24273,Daniel Waters,Director,5128
38464,Phil Rosen,Director,103931
22152,Derick Martini,Director,33349
16279,Sean McGinly,Director,81199
72891,Ivan Vyrypaev,Director,1181874
6461,Doris Dörrie,Director,18969
23391,Robert N. Bradbury,Director,88648
11160,Steno,Director,67924
168643,Duane Clark,Director,83706
19350,Philip Spink,Director,105746
15384,John Woo,Director,11401
156908,Oskari Pastila,Director,1138117
48116,Tudor Giurgiu,Director,1030521
15342,Anne Fontaine,Director,48583
25004,Petri Kotwica,Director,93002
17124,Jay Lowi,Director,81272
64115,Tadeusz Chmielewski,Director,80170
17532,Chris Fisher,Director,65817
10946,Alastair Fothergill,Director,67589
10946,Mark Linfield,Director,67590
23590,Armand Schaefer,Director,90070
30416,Jan Harlan,Director,5016
65503,William A. Seiter,Director,108987
38869,Roman Załuski,Director,1537022
17027,Edward Anderson,Director,135426
15577,Wayne Kramer,Director,19000
13448,Ron Howard,Director,6159
288035,Dave Foley,Director,21290
92312,Sergio Garrone,Director,107276
80592,Mack V. Wright,Director,88718
90120,Danny Draven,Director,63198
17635,Paris Leonti,Director,227333
42738,Michael Winner,Director,19244
14141,Danny Leiner,Director,56591
30312,Kirby Dick,Director,112588
47906,Jerry Schatzberg,Director,98199
111752,Guy Hamilton,Director,9915
122160,Robert Sparr,Director,160444
17740,Timothy Linh Bui,Director,145627
42943,Josef von Sternberg,Director,2891
13532,Kyle Newman,Director,74623
18495,Ted Kotcheff,Director,16544
180162,Neal Israel,Director,57359
25218,Bill Guttentag,Director,87091
24053,Michael Keaton,Director,2232
53947,Howard Alk,Director,927798
15705,Sharon Maguire,Director,9158
14448,Christophe Honoré,Director,76910
21583,Stephen Belber,Director,87672
534,McG,Director,36425
18360,Shawn Levy,Director,17825
38008,Asger Leth,Director,72344
2049,Doris Dörrie,Director,18969
19375,Tom Gustafson,Director,84618
23997,James D. Stern,Director,52159
23997,Adam Del Deo,Director,62795
18238,Phil Claydon,Director,82822
21755,Rian Johnson,Director,67367
43378,André De Toth,Director,81799
121707,Raoul Walsh,Director,8823
121707,Ray Enright,Director,34751
30239,Marco Bellocchio,Director,105866
101362,Jan Batory,Director,587204
8211,Sylwester Checinski,Director,8721
8211,Gerard Zalewski,Director,16323
8211,Andrzej Herman,Director,8723
8429,Roberto Rossellini,Director,4410
44012,Chantal Akerman,Director,130030
10541,Emmanuel Mouret,Director,65569
19955,Eric Lartigau,Director,85340
90799,Andrew L. Stone,Director,40054
39194,Tom O'Horgan,Director,122452
36460,Robert Day,Director,40599
27502,Roland West,Director,94771
15555,Ramin Bahrani,Director,45730
40022,Fernando Di Leo,Director,49892
86764,Éric Rohmer,Director,28615
42062,Fritz Lang,Director,68
42062,Archie Mayo,Director,81165
14126,David Elliot,Director,34672
14126,Tomm Coker,Director,77270
17332,Joe Wright,Director,36588
18405,Dennis Iliadis,Director,94108
155426,Artur Więcek,Director,1519411
21832,Hideaki Anno,Director,77921
21832,Kazuya Tsurumaki,Director,77923
21832,Masayuki,Director,77926
16871,Sam Raimi,Director,7623
14160,Pete Docter,Director,12890
21967,Yasujirō Ozu,Director,95501
14003,Seiji Mizushima,Director,83923
16899,Stephan Elliott,Director,27889
21724,Damien Dante Wayans,Director,59229
8282,Olivier Assayas,Director,21678
31404,King Vidor,Director,29962
42513,François Truffaut,Director,1650
83868,Michael Curtiz,Director,4109
4934,Vincent McEveety,Director,15657
15588,Michel Hazanavicius,Director,67717
61109,René Clair,Director,33166
129089,Ford Beebe,Director,11431
129089,Robert F. Hill,Director,33690
14857,David Hollander,Director,77365
17927,Will Gluck,Director,82511
77822,Anthony Asquith,Director,32919
14330,George Huang,Director,57028
26508,Peter Watkins,Director,95568
28677,Ellory Elkayem,Director,56150
19203,Michael Mayer,Director,50460
15712,Philippe Lioret,Director,21669
13975,Bertrand Tavernier,Director,20556
18785,Todd Phillips,Director,57130
16164,John Madden,Director,18844
17609,Lars von Trier,Director,42
33104,Chandra Barot,Director,110109
37924,David Moore,Director,119114
43321,Jack Webb,Director,8634
18869,Randall Rubin,Director,92834
18869,Jon Schroder,Director,92837
17829,Howard Hawks,Director,11435
16345,Priyadarshan,Director,80387
81512,Roy Rowland,Director,46307
200796,Maciej Ślesicki,Director,1104819
27134,Stephen Bradley,Director,1373168
53622,Robert N. Bradbury,Director,88648
761,Claude Zidi,Director,11201
11914,Serge Korber,Director,24425
64968,Robert Guédiguian,Director,5069
34300,John R. Cherry III,Director,83961
58018,Jacek Bromski,Director,993018
70806,Erich von Stroheim,Director,8630
45560,Rainer Werner Fassbinder,Director,2725
26506,Santosh Sivan,Director,37236
13856,Hal Haberman,Director,75919
13856,Jeremy Passmore,Director,75920
14536,Jonas Elmer,Director,130128
13710,Isabelle Mergault,Director,64534
15084,Siddharth Anand,Director,35785
14451,Tommy Wirkola,Director,76927
18162,Brad Silberling,Director,11887
34482,Michael Lembeck,Director,15045
16324,Arild Fröhlich,Director,579421
50600,Clarence Brown,Director,84034
18468,Azazel Jacobs,Director,145130
19724,Karey Kirkpatrick,Director,52845
18487,Tony Scott,Director,893
27799,Shunji Iwai,Director,55785
8883,Ole Christian Madsen,Director,56195
49767,Oliver Parker,Director,56710
29314,José Alvarenga Jr.,Director,112193
40465,Olaf Ittenbach,Director,65271
10272,Nick Stillwell,Director,64625
23924,Alberto Cavalcanti,Director,74697
18061,Douglas Hickox,Director,100979
21179,Tim Disney,Director,23571
42341,Hiroshi Nishitani,Director,127890
18760,Lo Wei,Director,70334
11693,Hitoshi Matsumoto,Director,71080
40509,Randa Haines,Director,19798
15073,Clive Gordon,Director,143931
31544,Aaron Norris,Director,51572
84119,Anatole Litvak,Director,37361
33409,Cyrus Nowrasteh,Director,110618
18240,Anne Fletcher,Director,29214
51260,Herbert L. Strock,Director,31251
28110,John Milius,Director,8328
89484,Vincente Minnelli,Director,13980
48288,Malcolm Ingram,Director,143958
17610,Harold Ramis,Director,1524
8933,Bent Hamer,Director,56377
156917,Aarne Tarkas,Director,586231
37911,Phil Karlson,Director,29907
38773,Jerry Lewis,Director,3663
8269,Emir Kusturica,Director,15254
45779,Steve Barnett,Director,140248
27085,Kevin Connor,Director,95329
8940,James Toback,Director,56381
133,Robert Drew,Director,1420
20152,Friðrik Þór Friðriksson,Director,6759
14938,Kurt Mattila,Director,420555
14938,Matt Checkowski,Director,420556
19508,Mark A.Z. Dippé,Director,87130
66770,Anthony Harvey,Director,12009
12162,Kathryn Bigelow,Director,14392
4498,Luis García Berlanga,Director,37493
176810,Albert S. Rogell,Director,89751
170477,Arnold Laven,Director,55692
75015,Tadeusz Chmielewski,Director,80170
18507,Sacha Bennett,Director,107039
16240,Laurie Lynd,Director,1230368
50030,Max Ophüls,Director,14353
81223,Stanisław Bareja,Director,146873
24772,David Steinberg,Director,15452
67515,Carlton J. Albright,Director,994292
29082,Louis Feuillade,Director,102844
8284,Jim Jarmusch,Director,4429
4250,Marc Rothemund,Director,21737
32451,Eddy Moretti,Director,1046353
32451,Suroosh Alvi,Director,1089413
62128,Eric Zala,Director,234836
8373,Michael Bay,Director,865
62320,Yann Arthus-Bertrand,Director,66150
24734,Franc Roddam,Director,65304
75317,Hasan Karacadag,Director,1141841
8939,Sergei Dvortsevoy,Director,56380
35404,Robert Siodmak,Director,5029
91205,Raquel Cepeda,Director,939271
53906,Josef von Sternberg,Director,2891
19079,Daniel Barnz,Director,84061
19265,Woody Allen,Director,1243
12556,Mark Waters,Director,54050
43638,Guy Moshe,Director,145612
4990,Robert Aldrich,Director,18392
43192,George Marshall,Director,19093
11322,Michael Mann,Director,638
8355,Carlos Saldanha,Director,5714
10821,Özhan Eren,Director,66979
176241,Brad Turner,Director,25882
176241,Kevin Hooks,Director,40230
47075,Warwick Thornton,Director,94342
41385,Eric Steven Stahl,Director,126303
25728,Robert Parrish,Director,8514
20301,Otto Preminger,Director,834
24232,Karen Disher,Director,87055
242737,Jan Fethke,Director,28464
50201,Per Åhlin,Director,103679
52109,John Cassavetes,Director,11147
251657,Matti Kassila,Director,222298
24927,Jeff Broadstreet,Director,92844
183871,John Edginton,Director,1000620
156063,Jamie Meltzer,Director,1032100
10024,Nick Cassavetes,Director,11151
10788,Sabbir Khan,Director,66829
15423,Stacy Title,Director,72619
33321,Hoite C. Caston,Director,195735
69426,Rajiv Menon,Director,139896
16226,Andy Orjuela,Director,1185900
42659,Roy Del Ruth,Director,94218
16440,Mike Smith,Director,174683
16440,Daniel DelPurgatorio,Director,1201684
62186,Lewis Seiler,Director,84641
22612,Robert N. Bradbury,Director,88648
19913,Marc Webb,Director,87742
47104,Abbas Kiarostami,Director,119294
17359,Kátia Lund,Director,8559
17359,João Moreira Salles,Director,933169
47920,John M. Stahl,Director,82171
82474,Frank Borzage,Director,14855
45184,Vincente Minnelli,Director,13980
18480,Larry Charles,Director,6767
64831,Jeff Sherman,Director,139039
64831,Gregory V. Sherman,Director,239911
266814,Constantine Nasr,Director,108657
4931,Don Siegel,Director,14773
301233,James Merendino,Director,33156
18901,Ivo Caprino,Director,117949
14728,Jonathan Frakes,Director,2388
16911,Fyodor Bondarchuk,Director,80999
70648,Jan Cvitkovič,Director,559102
8884,Gerald McMorrow,Director,56197
38940,Perry Lang,Director,124783
19105,Sam Dunn,Director,84110
19105,Scot McFadyen,Director,84111
14758,Marianna Palka,Director,77775
767,David Yates,Director,11343
59847,Alain Resnais,Director,11983
60623,Alain Resnais,Director,11983
14687,Roger Young,Director,23946
351862,Stevan Riley,Director,589610
10353,Jean-Marie Poiré,Director,64909
49360,Alan G. Parker,Director,1278502
245367,Mike Robe,Director,82618
9592,Hans Horn,Director,58116
68572,Steven E. de Souza,Director,1726
84278,Sidney Lumet,Director,39996
43195,Luchino Visconti,Director,15127
23964,Stephen Boyum,Director,543207
14531,Marc Munden,Director,176484
76465,Raoul Walsh,Director,8823
51302,Jim Henson,Director,55983
76452,Vittorio De Sica,Director,12329
14197,Yann Samuell,Director,55379
20174,John Ireland,Director,14502
20174,Edward Sampson,Director,85758
48773,Ng See-Yuen,Director,65981
8054,Terry Gilliam,Director,280
19929,Jens Hoffmann,Director,85333
123777,Su Friedrich,Director,1012174
18696,Jacques Tourneur,Director,10146
18696,Mario Bava,Director,25826
3478,Luchino Visconti,Director,15127
30713,Isidro Ortiz,Director,131122
54759,Matti Ijäs,Director,151083
30121,Eric Mandelbaum,Director,105720
64901,Olivier Assayas,Director,21678
23720,Lynn Shelton,Director,90492
14843,David McKay,Director,16908
8937,Kiyoshi Kurosawa,Director,26882
9974,Björne Larson,Director,61267
22302,Denis Villeneuve,Director,137427
20382,Jared Drake,Director,86008
53868,Roy Ward Baker,Director,26134
69342,Adam Rifkin,Director,50583
83078,Michelle Manning,Director,56738
37516,Sebastian Gutierrez,Director,19656
19727,Charles Winkler,Director,16487
56150,Hall Bartlett,Director,543946
22215,Stephen Frears,Director,3224
18635,Michael McGowan,Director,83415
4983,George McCowan,Director,40378
53830,Harry L. Fraser,Director,34799
38971,Lance Bangs,Director,61440
49691,Jean-Jacques Beineix,Director,37451
39415,Maurice Pialat,Director,16988
20407,John Hindman,Director,129478
22408,Tim Whelan,Director,71788
23286,Carl Pierson,Director,88976
97995,Max Linder,Director,1016035
67967,Busby Berkeley,Director,95293
21208,Jaume Collet-Serra,Director,59521
131351,Robert Markowitz,Director,27676
16056,Rowan Woods,Director,61346
53781,Robert N. Bradbury,Director,88648
20943,Robert Luketic,Director,36797
67463,Edgar Reitz,Director,72908
82311,Elia Kazan,Director,2746
204996,Yariv Mozer,Director,1122764
47870,Mike Leigh,Director,65452
104083,Stuart Heisler,Director,81285
21407,Marcus Dunstan,Director,51023
12403,David Twohy,Director,28239
62547,Christian-Jaque,Director,48995
15422,Craig Singer,Director,82859
14833,Robby Henson,Director,21415
41183,Scott Caan,Director,1894
44578,Richard Dale,Director,116306
20856,John Schultz,Director,79656
17654,Neill Blomkamp,Director,82194
24803,Nora Ephron,Director,9248
38879,Agnès Varda,Director,6817
17335,Steve Shill,Director,80747
13836,Andy Fickman,Director,58375
20071,Borja Cobeaga,Director,85552
13730,Richard Berry,Director,35896
15438,Laetitia Colombani,Director,71307
18126,Peter Chelsom,Director,36804
14869,Stephen Sommers,Director,7775
14415,Martin Provost,Director,76832
30250,Sophie Barthes,Director,108346
121895,Bertrand Tavernier,Director,20556
17134,Renny Harlin,Director,16938
50719,Lee Harry,Director,213404
105703,Hou Hsiao-hsien,Director,64992
176650,Hou Hsiao-hsien,Director,64992
176650,Wan Jen,Director,1158867
176650,Zhuang Xiang Zeng,Director,1158868
17199,Philippe Falardeau,Director,81437
20153,John Farrow,Director,50300
20777,Jonathan Liebesman,Director,66739
54982,Martha Coolidge,Director,63713
92989,Hou Hsiao-hsien,Director,64992
45999,Hou Hsiao-hsien,Director,64992
18908,Susanne Bier,Director,1011
31067,Stephen Frears,Director,3224
39286,Francesca Joseph,Director,1174668
13752,Joachim Rønning,Director,20307
13752,Espen Sandberg,Director,20308
22600,Ralph Ziman,Director,88970
99657,Werner Herzog,Director,6818
40797,Robert N. Bradbury,Director,88648
40743,Mack V. Wright,Director,88718
17285,Tommy Wirkola,Director,76927
12407,Charles Martin Smith,Director,1270
97252,Bradley Beesley,Director,76349
18440,Jake Kennedy,Director,105976
22602,Harry L. Fraser,Director,34799
40799,Robert N. Bradbury,Director,88648
40071,Ruud van Hemert,Director,87918
19422,Dan Zeff,Director,47705
31670,Tony Gatlif,Director,41040
38107,Robert N. Bradbury,Director,88648
15137,Hideaki Anno,Director,77921
15137,Kazuya Tsurumaki,Director,77923
15137,Masayuki,Director,77926
37047,Yoshiaki Iwasaki,Director,116750
66949,Ariane Mnouchkine,Director,34614
77285,Mikio Naruse,Director,125690
64728,Hiroshi Shimizu,Director,233660
11115,Gil Cates Jr.,Director,68167
22795,Ken Olin,Director,129723
21878,James Cotten,Director,115090
18585,Robert Allan Ackerman,Director,83588
19905,Neal Brennan,Director,57692
22051,Max Mayer,Director,100516
25902,Krisztina Goda,Director,125681
16634,R. W. Goodwin,Director,80665
58421,Yves Simoneau,Director,74566
56264,Jon Purdy,Director,77747
31913,Paul Mazursky,Director,47773
14940,Matt Aselton,Director,77651
24420,Robert Schwentke,Director,57270
13797,John Gulager,Director,62797
12605,Florian Schwarz,Director,73076
128856,Nicolai Albrecht,Director,1088045
145066,Stephen Gyllenhaal,Director,15912
31216,Shamim Sarif,Director,107753
19556,Zach Cregger,Director,84833
19556,Trevor Moore,Director,84834
23367,Todd Graff,Director,18342
49982,Hou Hsiao-hsien,Director,64992
45852,Kevin Rafferty,Director,96446
24999,Jake Clennell,Director,92961
16710,Tyler Perry,Director,80602
19840,Chris Columbus,Director,10965
25047,Jean-Pierre Melville,Director,3831
33199,Leesong Hee-il,Director,1030914
22025,Toshio Lee,Director,1134988
99599,Hou Hsiao-hsien,Director,64992
25183,Nicholas Jasenovec,Director,54713
19170,John Sturges,Director,14520
14745,Mickey Liddell,Director,48498
19585,Hoyt Yeatman,Director,84851
41682,John Glen,Director,10179
17336,Dito Montiel,Director,53935
11928,Francis Ford Coppola,Director,1776
98289,Richard Sale,Director,95262
99600,Hou Hsiao-hsien,Director,64992
18281,Anthony Mann,Director,40199
8895,Atom Egoyan,Director,56205
18533,Nicolas Winding Refn,Director,21183
30319,Alejandro Chomski,Director,228334
18820,Oliver Parker,Director,56710
85097,Nina Gilden Seavey,Director,22292
85097,Stephen Higgins,Director,931692
164741,Robert Townsend,Director,68750
12839,Russell P. Marleau,Director,94261
15775,Gil Junger,Director,40243
44655,Luis Buñuel,Director,793
43384,Richard Thorpe,Director,70862
46351,John G. Blystone,Director,10516
38662,J.P. McGowan,Director,88717
38662,Armand Schaefer,Director,90070
18032,Gábor Csupó,Director,36697
677,Leni Riefenstahl,Director,10139
685,Leni Riefenstahl,Director,10139
92011,Jon Cassar,Director,25873
49835,Jon Fauer,Director,1410839
18759,Tim Iacofano,Director,25874
106028,Lance Hendrickson,Director,1039362
106028,Troy McCall,Director,1039363
106028,Mike P. Nelson,Director,1039364
106028,Steven Rhoden,Director,1039365
106028,Ben Trandem,Director,1039366
87683,Sam Miller,Director,134156
42638,Erich von Stroheim,Director,8630
18568,Michele Lupo,Director,33806
33314,Ralph Hemecker,Director,109537
21657,Mike Robe,Director,82618
8899,Luc Dardenne,Director,45138
8899,Jean-Pierre Dardenne,Director,56209
20778,Jean-Pierre Melville,Director,3831
22492,Davis Guggenheim,Director,19012
17153,Kit Ryan,Director,81353
21236,Peter Ettinger,Director,87314
35059,Peter Markle,Director,67632
43878,Jean Renoir,Director,11528
29967,Fritz Lang,Director,68
68692,John Ford,Director,8500
15641,Eric Bross,Director,60045
21955,Joseph Ruben,Director,52629
43303,Martha Coolidge,Director,63713
25704,Vicky Jenson,Director,12058
21371,Ramin Bahrani,Director,45730
23115,Byron Haskin,Director,51000
41427,Riccardo Donna,Director,126437
184781,Robert Markowitz,Director,27676
36108,Aki Kaurismäki,Director,16767
36108,Lars von Trier,Director,42
36108,Alejandro González Iñárritu,Director,223
36108,David Cronenberg,Director,224
36108,Zhang Yimou,Director,607
36108,Joel Coen,Director,1223
36108,Ethan Coen,Director,1224
36108,Wim Wenders,Director,2303
36108,Takeshi Kitano,Director,3317
36108,Roman Polanski,Director,3556
36108,Gus Van Sant,Director,5216
36108,David Lynch,Director,5602
36108,Walter Salles,Director,8574
36108,Theo Angelopoulos,Director,10316
36108,Jane Campion,Director,10757
36108,Michael Cimino,Director,12114
36108,Wong Kar-wai,Director,12453
36108,Ken Loach,Director,15488
36108,Claude Lelouch,Director,16862
36108,Bille August,Director,19684
36108,Youssef Chahine,Director,20023
36108,Amos Gitai,Director,20024
36108,Chen Kaige,Director,20640
36108,Olivier Assayas,Director,21678
36108,Luc Dardenne,Director,45138
36108,Atom Egoyan,Director,56205
36108,Jean-Pierre Dardenne,Director,56209
36108,Raymond Depardon,Director,56836
36108,Andrei Konchalovsky,Director,58728
36108,Hou Hsiao-hsien,Director,64992
36108,Nanni Moretti,Director,69488
36108,Tsai Ming-liang,Director,71174
36108,Manoel de Oliveira,Director,81749
36108,Abbas Kiarostami,Director,119294
36108,Raúl Ruiz,Director,121585
36108,Elia Suleiman,Director,131685
23049,Donald Petrie,Director,18281
26914,Claudio Fragasso,Director,45577
121655,Patrick Keiller,Director,558007
15457,Christophe Barratier,Director,43993
758,George Pollock,Director,11118
43734,Don Hardy Jr.,Director,1020740
43734,Dana Nachman,Director,1020742
41496,George LaVoo,Director,126707
12410,Vicente Amorim,Director,72133
45458,Éric Rohmer,Director,28615
64544,Éric Rohmer,Director,28615
26320,Ang Lee,Director,1614
41127,Tim Fywell,Director,125544
35203,Cher,Director,38225
35203,Nancy Savoca,Director,93025
34869,Aleksey Balabanov,Director,113337
24150,Rob Zombie,Director,16848
65990,Ernie Barbarash,Director,5917
60216,Billy Wilder,Director,3146
21336,Henry Hathaway,Director,37360
35044,Nicolas Roeg,Director,14132
2861,Éric Rohmer,Director,28615
23451,Erik Gandini,Director,90139
25376,Juan José Campanella,Director,84714
59314,Jon Else,Director,1197811
12244,Shane Acker,Director,71923
58450,Susanna Nicchiarelli,Director,227842
5060,Gerald Thomas,Director,40940
15809,Jesse V. Johnson,Director,77295
29914,Ray McKinnon,Director,1472
52710,Jean-Luc Godard,Director,3776
140887,Armand Schaefer,Director,90070
140887,Colbert Clark,Director,976028
40979,Tay Garnett,Director,74878
22494,Gareth Carrivick,Director,93468
37903,Michael Haneke,Director,6011
227370,Arto Koskinen,Director,1093734
17899,Alfonso Albacete,Director,148084
17899,David Menkes,Director,260050
18120,Fernando González Molina,Director,82724
106006,Julie Shaw,Director,1590431
17445,Lauren Montgomery,Director,74863
63581,Geoffrey O'Connor,Director,237517
23736,Tibor Takács,Director,42309
19898,Christian Alvart,Director,54559
20171,Simon Brand,Director,59651
21700,Juanma Bajo Ulloa,Director,563855
57412,Henry Hathaway,Director,37360
72083,Juan Antonio Bardem,Director,71522
17046,Annabel Jankel,Director,58164
6309,Tony Mitchell,Director,49009
10313,Grant Heslov,Director,31511
20715,Gábor Csupó,Director,36697
17632,Chris Bouchard,Director,123551
31936,Luis García Berlanga,Director,37493
40954,Monte Hellman,Director,20921
8071,Jean-Luc Godard,Director,3776
8071,Jean-Pierre Gorin,Director,53782
8071,Groupe Dziga Vertov,Director,937278
43255,Kenji Mizoguchi,Director,97202
42225,Paolo Taviani,Director,24279
42225,Vittorio Taviani,Director,24281
689,Theo Angelopoulos,Director,10316
22774,Matt Tyrnauer,Director,1116251
53430,Charlie Chaplin,Director,13848
32317,René Clair,Director,33166
47576,Tomás Gutiérrez Alea,Director,72646
2979,Hank Braxtan,Director,117168
17618,Robert Hall,Director,82101
19994,Karyn Kusama,Director,54025
11323,Steven Soderbergh,Director,1884
117531,Erich von Stroheim,Director,8630
117531,James Cruze,Director,94305
42762,Charles McDougall,Director,157771
3511,Sean Ellis,Director,32250
37317,Raoul Walsh,Director,8823
25900,John Berry,Director,94169
29134,Cherien Dabis,Director,103008
12569,Mike Judge,Director,17403
19912,David R. Ellis,Director,4755
18501,Brian Taylor,Director,20192
18501,Mark Neveldine,Director,20193
22794,Phil Lord,Director,107446
22794,Christopher Miller,Director,155267
279606,Jeffrey Bell,Director,1236075
26367,Tyler Perry,Director,80602
43757,John Tatoulis,Director,79113
23253,A. Edward Sutherland,Director,89669
114618,Michael Anderson,Director,20412
18570,Robert Kenner,Director,95687
36703,Andrew Bujalski,Director,40864
46768,Lucio Fulci,Director,29433
18724,Nathan H. Juran,Director,44878
22536,Park Chan-wook,Director,10099
16873,Aristomenis Tsirbas,Director,80949
22326,Dome Karukoski,Director,88857
25643,Brandon Camp,Director,62541
29963,Jane Campion,Director,10757
30685,Joel Schumacher,Director,5572
25549,Dick Powell,Director,19328
63615,Juan Martínez Moreno,Director,237583
26009,Phil Karlson,Director,29907
26500,Avi Nesher,Director,95550
35113,Michael Winterbottom,Director,172
40225,Étienne Chatiliez,Director,20849
17455,Rick Bota,Director,58209
12699,Rick Bota,Director,58209
25532,Adrián Caetano,Director,230217
23827,Oren Peli,Director,90591
14579,Perry Moore,Director,5544
14579,Hunter Hill,Director,77082
185591,Jean Cocteau,Director,9730
28299,Alexander Hall,Director,99667
16194,Mark Hartley,Director,113876
62396,Joseph Pevney,Director,15705
18974,Jack Sher,Director,30508
64450,Brillante Mendoza,Director,56213
44208,Ernst Lubitsch,Director,2428
19136,H. C. Potter,Director,83399
25112,Lance Hammer,Director,93184
28051,Mario Bava,Director,25826
20178,Bobcat Goldthwait,Director,95024
67612,Glauber Rocha,Director,544845
25050,Hirokazu Koreeda,Director,25645
43360,Max Ophüls,Director,14353
41053,Guru Dutt,Director,125354
54563,Alain Resnais,Director,11983
76636,Ousmane Sembene,Director,557134
22074,Michael Moore,Director,17087
91262,Georges Franju,Director,37302
38670,Don Taylor,Director,9108
38670,Italo Zingarelli,Director,56721
22717,Prabhu Deva,Director,89154
23128,Louie Psihoyos,Director,94815
12573,Joel Coen,Director,1223
12573,Ethan Coen,Director,1224
28053,Raymond De Felitta,Director,99496
24869,Jamin Winans,Director,92743
90056,Wladyslaw Starewicz,Director,938146
126597,Jan Švankmajer,Director,83784
24561,Takashi Miike,Director,17282
36800,Tarik Saleh,Director,119293
14476,Neil Thompson,Director,76946
104275,Jan Švankmajer,Director,83784
21398,Paul Solet,Director,87494
23127,Rob Zombie,Director,16848
39506,Seijun Suzuki,Director,82461
23202,Michael Dougherty,Director,11012
24001,Dave Parker,Director,67980
22798,Drew Barrymore,Director,69597
23082,Ricky Gervais,Director,17835
23082,Matthew Robinson,Director,1551346
62635,Nati Baratz,Director,235637
61524,Alfred L. Werker,Director,81930
19959,Jonathan Mostow,Director,7213
18065,Benny Boom,Director,134129
19908,Ruben Fleischer,Director,91268
28665,Kevin Tancharoen,Director,101518
23044,R. J. Cutler,Director,89814
54191,Stephen Gyllenhaal,Director,15912
18176,Brett Simon,Director,110343
23532,Luke Ricci,Director,90277
46068,S. Sylvan Simon,Director,117773
33474,Charles Lamont,Director,29627
26688,Stewart Hendler,Director,130837
22787,Dominic Sena,Director,58498
4786,Carlos Cuarón,Director,12529
24684,Lone Scherfig,Director,1176
77246,Lloyd Kramer,Director,581423
63795,Charles Lamont,Director,29627
63978,Alain Resnais,Director,11983
11156,Anne Fontaine,Director,48583
74469,William Dieterle,Director,49214
44054,Andrew Piddington,Director,1190679
26763,Anders Østergaard,Director,89930
99189,Les Blank,Director,142594
18710,Steve Carver,Director,102627
33476,Charles Lamont,Director,29627
19899,Peter Billingsley,Director,12708
23706,Phil Traill,Director,78562
142084,Pablo Stoll,Director,116584
39488,Adrián Biniez,Director,548836
106254,Vsevolod Pudovkin,Director,144821
11807,Imtiaz Ali,Director,71276
17622,Kari Skogland,Director,22140
60773,Jacques Demy,Director,24882
885,Josef von Sternberg,Director,2891
126136,King Vidor,Director,29962
23966,Marcel Sarmiento,Director,96323
23966,Gadi Harel,Director,96324
188858,Javier Rebollo,Director,944482
48214,Ernst Lubitsch,Director,2428
44685,Yoshiaki Iwasaki,Director,116750
92990,Chen Kaige,Director,20640
43902,Cecil B. DeMille,Director,8636
43850,Tim Whelan,Director,71788
33857,Scott Sublett,Director,994327
33380,Morten Lindberg,Director,110577
70569,Alexander Olch,Director,1083127
21910,Jeremiah Kipp,Director,88552
21910,Zeke Dunn,Director,88553
21910,Nicole Real,Director,88554
21910,Glenn McQuaid,Director,88556
4734,Maurice Pialat,Director,16988
42678,Josef von Sternberg,Director,2891
44334,Emeric Pressburger,Director,37846
44334,Michael Powell,Director,68424
42537,Erich von Stroheim,Director,8630
16523,Spike Jonze,Director,5953
46931,Peeter Simm,Director,137842
1686,Andy Warhol,Director,18626
1686,Paul Morrissey,Director,18627
67062,Glauber Rocha,Director,544845
59239,Ritwik Ghatak,Director,543652
85927,Marguerite Duras,Director,29905
63107,Sergei M. Eisenstein,Director,9603
29124,Rick Ernst,Director,102985
44630,Jack Gold,Director,70055
53423,Charlie Chaplin,Director,13848
37340,Harold French,Director,97212
38702,James Foley,Director,15890
43990,Hugh Hudson,Director,58220
18214,Eric Karson,Director,57665
3513,Peter MacDonald,Director,16589
19837,Anat Baron,Director,1039381
25132,Robert Rodriguez,Director,2294
12572,Natalie Portman,Director,524
12572,Yvan Attal,Director,2245
12572,Fatih Akin,Director,5125
12572,Joshua Marston,Director,5872
12572,Mira Nair,Director,6495
12572,Allen Hughes,Director,11448
12572,Randall Balsmeyer,Director,15435
12572,Brett Ratner,Director,11091
12572,Shekhar Kapur,Director,37630
12572,Shunji Iwai,Director,55785
12572,Jiang Wen,Director,77301
22803,F. Gary Gray,Director,37932
32563,Jacques Tourneur,Director,10146
52941,Stephen Weeks,Director,106565
180576,Bruce Beresford,Director,5696
33806,Felix Van Groeningen,Director,239672
50936,Sammo Hung,Director,62410
8915,Mira Nair,Director,6495
19904,Nelson McCormick,Director,45627
120518,Alan J. Pakula,Director,6349
24238,Adam Elliot,Director,92733
19918,David Mackenzie,Director,3055
24056,Scott Mann,Director,90812
23512,Scott Hicks,Director,33433
31189,Ruba Nadda,Director,108072
54154,Giuliano Montaldo,Director,132257
85763,Lewis Gilbert,Director,10076
37637,Douglas Sirk,Director,46712
94663,Miklós Jancsó,Director,137349
69912,Roberto Rossellini,Director,4410
51619,David Lean,Director,12238
21058,Fei Mu,Director,233200
30506,David Butler,Director,76381
30506,Sidney Lanfield,Director,97017
97029,Ousmane Sembene,Director,557134
71041,Fritz Lang,Director,68
98914,Vsevolod Pudovkin,Director,144821
54419,René Clair,Director,33166
89681,Fernando E. Solanas,Director,71353
89681,Octavio Getino,Director,937636
42788,Bernardo Bertolucci,Director,4956
8926,Antonio Campos,Director,56369
16398,Mark Atkins,Director,81297
